,관광지,날짜,버즈량,위치
1914,관덕정,2021-03-31,11,제주시
1915,관덕정,2021-04-01,14,제주시
1916,관덕정,2021-04-02,11,제주시
1917,관덕정,2021-04-03,29,제주시
1918,관덕정,2021-04-04,11,제주시
1919,관덕정,2021-04-05,11,제주시
1920,관덕정,2021-04-06,11,제주시
1921,관덕정,2021-04-07,10,제주시
1922,관덕정,2021-04-08,10,제주시
1923,관덕정,2021-04-09,4,제주시
1924,관덕정,2021-04-10,4,제주시
1925,관덕정,2021-04-11,5,제주시
1926,관덕정,2021-04-12,15,제주시
1927,관덕정,2021-04-13,7,제주시
1928,관덕정,2021-04-14,4,제주시
1929,관덕정,2021-04-15,8,제주시
1930,관덕정,2021-04-16,10,제주시
1931,관덕정,2021-04-17,5,제주시
1932,관덕정,2021-04-18,10,제주시
1933,관덕정,2021-04-19,12,제주시
1934,관덕정,2021-04-20,5,제주시
1935,관덕정,2021-04-21,10,제주시
1936,관덕정,2021-04-22,13,제주시
1937,관덕정,2021-04-23,9,제주시
1938,관덕정,2021-04-24,10,제주시
1939,관덕정,2021-04-25,12,제주시
1940,관덕정,2021-04-26,12,제주시
1941,관덕정,2021-04-27,11,제주시
1942,관덕정,2021-04-28,10,제주시
1943,관덕정,2021-04-29,6,제주시
1944,관덕정,2021-04-30,9,제주시
1945,관덕정,2021-05-01,13,제주시
1946,관덕정,2021-05-02,11,제주시
1947,관덕정,2021-05-03,17,제주시
1948,관덕정,2021-05-04,6,제주시
1949,관덕정,2021-05-05,7,제주시
1950,관덕정,2021-05-06,19,제주시
1951,관덕정,2021-05-07,12,제주시
1952,관덕정,2021-05-08,7,제주시
1953,관덕정,2021-05-09,5,제주시
1954,관덕정,2021-05-10,5,제주시
1955,관덕정,2021-05-11,4,제주시
1956,관덕정,2021-05-12,7,제주시
1957,관덕정,2021-05-13,6,제주시
1958,관덕정,2021-05-14,16,제주시
1959,관덕정,2021-05-15,12,제주시
1960,관덕정,2021-05-16,11,제주시
1961,관덕정,2021-05-17,8,제주시
1962,관덕정,2021-05-18,14,제주시
1963,관덕정,2021-05-19,9,제주시
1964,관덕정,2021-05-20,5,제주시
1965,관덕정,2021-05-21,13,제주시
1966,관덕정,2021-05-22,7,제주시
1967,관덕정,2021-05-23,5,제주시
1968,관덕정,2021-05-24,16,제주시
1969,관덕정,2021-05-25,15,제주시
1970,관덕정,2021-05-26,7,제주시
1971,관덕정,2021-05-27,14,제주시
1972,관덕정,2021-05-28,10,제주시
1973,관덕정,2021-05-29,5,제주시
1974,관덕정,2021-05-30,8,제주시
1975,관덕정,2021-05-31,13,제주시
1976,관덕정,2021-06-01,12,제주시
1977,관덕정,2021-06-02,12,제주시
1978,관덕정,2021-06-03,12,제주시
1979,관덕정,2021-06-04,5,제주시
1980,관덕정,2021-06-05,4,제주시
1981,관덕정,2021-06-06,15,제주시
1982,관덕정,2021-06-07,8,제주시
1983,관덕정,2021-06-08,9,제주시
1984,관덕정,2021-06-09,11,제주시
1985,관덕정,2021-06-10,9,제주시
1986,관덕정,2021-06-11,2,제주시
1987,관덕정,2021-06-12,5,제주시
1988,관덕정,2021-06-13,10,제주시
1989,관덕정,2021-06-14,8,제주시
1990,관덕정,2021-06-15,14,제주시
1991,관덕정,2021-06-16,8,제주시
1992,관덕정,2021-06-17,10,제주시
1993,관덕정,2021-06-18,3,제주시
1994,관덕정,2021-06-19,10,제주시
1995,관덕정,2021-06-20,7,제주시
1996,관덕정,2021-06-21,13,제주시
1997,관덕정,2021-06-22,15,제주시
1998,관덕정,2021-06-23,10,제주시
1999,관덕정,2021-06-24,13,제주시
2000,관덕정,2021-06-25,6,제주시
2001,관덕정,2021-06-26,1,제주시
2002,관덕정,2021-06-27,8,제주시
2003,관덕정,2021-06-28,5,제주시
2004,관덕정,2021-06-29,8,제주시
2005,관덕정,2021-06-30,9,제주시
2006,관덕정,2021-07-01,5,제주시
2007,관덕정,2021-07-02,6,제주시
2008,관덕정,2021-07-03,13,제주시
2009,관덕정,2021-07-04,12,제주시
2010,관덕정,2021-07-05,20,제주시
2011,관덕정,2021-07-06,11,제주시
2012,관덕정,2021-07-07,14,제주시
2013,관덕정,2021-07-08,5,제주시
2014,관덕정,2021-07-09,16,제주시
2015,관덕정,2021-07-10,8,제주시
2016,관덕정,2021-07-11,7,제주시
2017,관덕정,2021-07-12,8,제주시
2018,관덕정,2021-07-13,10,제주시
2019,관덕정,2021-07-14,6,제주시
2020,관덕정,2021-07-15,8,제주시
2021,관덕정,2021-07-16,9,제주시
2022,관덕정,2021-07-17,8,제주시
2023,관덕정,2021-07-18,3,제주시
2024,관덕정,2021-07-19,9,제주시
2025,관덕정,2021-07-20,14,제주시
2026,관덕정,2021-07-21,3,제주시
2027,관덕정,2021-07-22,6,제주시
2028,관덕정,2021-07-23,7,제주시
2029,관덕정,2021-07-24,11,제주시
2030,관덕정,2021-07-25,7,제주시
2031,관덕정,2021-07-26,11,제주시
2032,관덕정,2021-07-27,10,제주시
2033,관덕정,2021-07-28,12,제주시
2034,관덕정,2021-07-29,8,제주시
2035,관덕정,2021-07-30,9,제주시
